Campaign_No,Campaign_ID,Campaign_Name,Brand,Agent_Status,Start date,Date,Channel,Region,Gender,Age,CTR (%),CPC (_),RoAS,Reach,Frequency (x),Conversion,CPA (_),Conversion Rate (%),Engagement Rate (%),Campaign_Ideation_Time (days),AB_Test_Completion (days),Creative_Refresh_Time (days),Budget_Reallocation_Time (hrs),Optimization_Response_Time (mins),Personalization_Deployment_Time (hrs),Alert_Type,Threshold_Triggered,Auto_Action_Taken,Approval_Status,Business_Impact (_/%),Alert_Timestamp,Pre_Agent_Value,Post_Agent_Value,Improvement (%),Industry_Avg,Vs_Industry (%),Agent_Automated (%),Auto_Optimizations_Today,Avg_Response_Time (mins),Competitor_Share_of_Voice (%),Competitor_Action_Flag,Sentiment_Score (-1 to +1),Top_Consumer_Keyword,Media_Spend (_),Cost_Per_Engagement (_),Drop_off_Cart (%),Bounce_Rate (%),Seasonality_Flag,Influencer_Collaboration_Flag,Regulatory_Risk_Flag,Crisis_Alert_Flag,Brand_Awareness_Lift (%),Net_Promoter_Score (NPS),Forecasted_Conversions (7d),Forecasted_RoAS (7d),Agent_Recommendation_Flag
Campaign 26,CAMP1519,Summer Splash,Brand X Premium,Agent,2024-01-01,2028-02-27,Facebook,Metro Cities,All,38,4.59,15.4297619,4.565333333,114269.3333,9.81,3784,562.64375,9.315047619,18.32533333,10.83333333,8.095238095,8,1.04,63.57142857,13.29136905,CTR Dip,Budget > 80%,Paused,Pending,302231.7608,2024-02-03 00:00:00,2.853333333,4.565333333,60,52.27,78.16,83.62,17,40.41666667,51.01,N,0.15,Savings,2016165.52,301.06,7.96,24.84,Regular,N,N,N,19.55809524,19.74761905,593,3.25,Scale Up
Campaign 7,CAMP1520,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2028-02-28,YouTube,Pan-India,Male,55,3.58,49.67,2.65,88605,9.24,3780,1019.53,13.93,9.56,2,11,28,6.85,90,16.64,Conversion Slowdown,RoAS < 1,Budget Increased,Auto-resolved,25329.99,2024-05-16 00:00:00,46.49,129.65,178.88,46.22,83.43,15,3,60,29.23076923,N,-0.16,Savings,5262174.66,621.23,6.28,88.2,Festival,Y,N,N,13.02,-15,32,2.58,Optimize
Campaign 31,CAMP1521,Summer Splash,Brand X Classic,Manual,2024-01-01,2028-02-29,LinkedIn,Metro Cities,All,19,3.58,15.99,2.81,95398,1.05,2980,445.47,1.56,19,4,9,18,2.21,99,37.25,CTR Dip,Budget > 80%,Bid Reduced,Auto-resolved,436540.98,2024-11-11 00:00:00,12.64,103.59,719.54,59.64,43.95,15,3,99,43.07692308,Y,-0.01,Digital,1502448.48,82.89,3.87,98.27,Regular,N,N,N,13.11,-3,65,3.09,Optimize
Campaign 28,CAMP1522,Diwali Dhamaka,Brand X Premium,Manual,2024-01-01,2028-03-01,LinkedIn,Metro Cities,All,28,2.05,11.82,0.84,21207,3,3002,923.34,6.19,16.06,9,13,18,21.94,54,38.5,Fatigue Detected,Budget > 80%,Budget Increased,Auto-resolved,477964.86,2024-01-15 00:00:00,23.46,102.53,337.04,51.2,51.33,15,1,6,23.84615385,N,-0.06,Savings,207986.37,61.07,17.43,92.9,Festival,N,N,N,11.39,18,76,0.9,Pause
Campaign 5,CAMP1523,Monsoon Mania,Brand X X Core,Agent,2024-01-01,2028-03-02,Instagram,Pan-India,Female,18,9.78,12.37,4.914,123999.6667,6.07,3686.133333,639.9752604,15.772,15.27333333,10.83333333,7.864583333,11.61458333,7.3140625,52.94270833,11.94,RoAS Drop,RoAS < 1,Bid Reduced,Pending,381773.3733,2024-06-07 00:00:00,3.07125,4.914,60,88.63,39.89,89.08,6,33,57.93307692,N,0.21,Discount,1261650.37,560.15,1.46,24.84,Holiday,Y,N,Y,20.202,19.74761905,1111,0.78,Pause
Campaign 47,CAMP1524,Winter Warmth,Brand X Classic,Agent,2024-01-01,2028-03-03,Instagram,Tier-3,All,31,6.91,12.56354167,3.888,144227.9333,7.67,3483.933333,628.0341146,11.83,12.08733333,10.13020833,8.020833333,11.5625,8.502864583,63,15.84479167,Conversion Slowdown,Conv < 100,Paused,Auto-resolved,367972.892,2024-09-14 00:00:00,2.43,3.888,60,85.69,52.09858333,70,17,19,62.54846154,N,0.11,Festive,3012716.45,756.47,5.58,24.83,Off-season,Y,N,N,20.08733333,19.74761905,720,3.94,Scale Up
Campaign 8,CAMP1525,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2028-03-04,Google Ads,Pan-India,Female,41,3.52,41.55,4.98,23591,7.81,556,234.6,13.66,18.6,10,12,18,19.66,20,38.72,Fatigue Detected,CTR < 2%,Paused,Pending,196518.32,2024-08-27 00:00:00,74.35,111.93,50.54,55.44,56.49,15,3,48,44.61538462,N,-0.02,Festive,854053.59,194.64,3.21,86.44,Holiday,N,N,N,11.51,-12,61,4.93,Scale Up
Campaign 35,CAMP1526,Diwali Dhamaka,Brand X X Core,Manual,2024-01-01,2028-03-05,Instagram,Tier-2,All,47,3.92,11.33,4.48,82582,3.93,4216,1189.83,11.62,3.77,1,8,30,13.45,76,47.89,RoAS Drop,RoAS < 1,Paused,Auto-resolved,123912.8,2024-04-24 00:00:00,96.7,137.2,41.88,71.06,66.14,15,3,29,50.76923077,N,-0.24,NewLaunch,1087082.28,349.17,7.32,89.07,Regular,N,N,Y,12.94,-23,55,4.85,Scale Up
Campaign 22,CAMP1527,Summer Splash,Brand X Classic,Agent,2024-01-01,2028-03-06,LinkedIn,Tier-2,Male,23,9.19,15.07617188,4.892,95728,1.55,3705.25,293.34,10.338,14.7025,10.60546875,7.44140625,10.9375,6.48671875,59,14.99140625,Conversion Slowdown,Conv < 100,Budget Increased,Auto-resolved,331069.1775,2024-06-25 00:00:00,3.0575,4.892,60,78.17,46.4611875,92.08,14,40.68359375,52.54846154,N,0.22,Savings,2443230.42,921.39,4.69,24.8,Off-season,N,Y,Y,19.2725,19.74761905,610,4.11,Scale Up
Campaign 44,CAMP1528,Winter Warmth,Brand X Premium,Manual,2024-01-01,2028-03-07,Facebook,Metro Cities,Female,33,3.89,30.18,2.15,39883,8.93,2199,651.43,9.64,4.5,4,7,14,23.13,121,18.35,Fatigue Detected,Budget > 80%,Creative Refreshed,Approved,28158.15,2024-11-06 00:00:00,19.29,147.06,662.36,73.14,73.92,15,3,57,51.53846154,N,-0.23,Premium,1144502.35,637.7,7.56,91.55,Holiday,N,N,Y,12.11,-32,25,2.14,Optimize
Campaign 13,CAMP1529,Festive Fiesta,Brand X Premium,Manual,2024-01-01,2028-03-08,LinkedIn,Metro Cities,Male,37,2.47,44.41,4.62,88042,6.54,4291,1351.17,11.67,7.89,4,10,28,12.76,111,23.18,Budget Cap,Budget > 80%,Bid Reduced,Pending,393341.19,2024-09-06 00:00:00,67.51,58.04,-14.03,88.57,-30.53,15,1,117,36.92307692,N,-0.18,Premium,4545532.59,654.36,6.63,89.04,Holiday,N,N,N,13.02,-4,47,5.07,Scale Up
Campaign 46,CAMP1530,Summer Splash,Brand X X Core,Manual,2024-01-01,2028-03-09,Google Ads,Tier-3,Male,30,2.66,7.86,0.97,24577,6.51,1312,1232.49,6.22,10.67,24,20,17,6.22,57,21.31,Budget Cap,RoAS < 1,Paused,Approved,339964.49,2024-07-10 00:00:00,22.44,76.25,239.8,83.48,-7.23,15,3,60,28.46153846,N,-0.14,Savings,195502.25,74.55,5.95,93.24,Off-season,N,N,N,11.56,-9,39,0.97,Pause
Campaign 48,CAMP1531,Winter Warmth,Brand X Classic,Manual,2024-01-01,2028-03-10,Instagram,Tier-3,Male,26,3.53,36.97,2.99,6602,9.88,1660,975.02,3.65,15.65,25,9,15,4.07,36,17.99,CTR Dip,RoAS < 1,Budget Increased,Pending,282926.96,2024-05-19 00:00:00,89.21,61.81,-30.71,57.48,4.33,15,0,53,25,N,-0.07,Discount,208710.6,202,29.5,96.76,Off-season,N,N,N,10.05,-11,65,2.85,Optimize
Campaign 33,CAMP1532,Summer Splash,Brand X Classic,Agent,2024-01-01,2028-03-11,YouTube,Pan-India,Male,37,7.41,18.83449074,4.350814815,94430.34074,3.93,4273.007407,595.4976852,11.97985185,16.01066667,7.384259259,8.032407407,11.875,7.468055556,57.70833333,13.4,RoAS Drop,Conv < 100,Bid Reduced,Pending,467014.37,2024-04-25 00:00:00,2.719259259,4.350814815,60,78.2,46.67048148,84.4,18,44.28240741,61.77923077,Y,0.21,Premium,2220769.77,2283.27,0.1,24.76,Regular,Y,N,Y,19.27348148,19.74761905,1150,3.58,Scale Up
Campaign 6,CAMP1533,Winter Warmth,Brand X X Core,Agent,2024-01-01,2028-03-12,Google Ads,Metro Cities,Female,21,3.990545455,15.49659091,4.68,112332.2182,7.29,4113,712.9022727,10.96436364,18.35,8.465909091,7.869318182,8,2.38,63.15340909,12.27,Fatigue Detected,CTR < 2%,Paused,Auto-resolved,534526.4851,2024-05-26 00:00:00,2.925,4.68,60,50.91,27.51036364,70,12,31.53409091,48.70230769,N,0.04,NewLaunch,2233452.2,241.44,12.04,24.76,Festival,N,N,N,19.40436364,19.74761905,509,2.4,Optimize
Campaign 15,CAMP1534,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2028-03-13,YouTube,Metro Cities,Male,42,3.9,6.32,4.25,10961,2.97,4286,1312.9,14.44,4.32,26,18,21,10,99,45.43,Fatigue Detected,Budget > 80%,Bid Reduced,Auto-resolved,88433.85,2024-06-13 00:00:00,20.14,124.29,517.13,42.02,82.27,15,3,53,35.38461538,N,-0.24,Savings,60245.36,127.23,55.22,87.42,Festival,Y,N,Y,10.63,-29,37,4.44,Scale Up
Campign 2,CAMP1535,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2028-03-14,Facebook,Pan-India,All,36,3.25,36.14,0.7,44938,6.44,1067,1527.06,4.6,9.44,3,13,23,2.84,149,8.05,Conversion Slowdown,RoAS < 1,Bid Reduced,Pending,497983.69,2024-04-30 00:00:00,77.83,59.31,-23.8,44.9,14.41,15,3,62,27.69230769,N,-0.16,Discount,1682675.65,396.66,3.49,95.87,Off-season,N,N,N,12.25,-22,21,0.74,Pause
Campaign 32,CAMP1536,Summer Splash,Brand X Herbal,Manual,2024-01-01,2028-03-15,LinkedIn,Tier-2,All,29,4.02,23.83,2.46,87932,2.14,4977,252.5,0.13,13.77,12,9,29,18.19,108,9.73,Fatigue Detected,Budget > 80%,Budget Increased,Pending,292121.74,2024-07-14 00:00:00,23.52,63.25,168.92,86.16,-22.91,15,3,92,41.53846154,N,-0.09,Discount,2259092.06,186.57,6.92,99.9,Festival,N,N,N,13.01,12,74,2.42,Optimize
Campaign 12,CAMP1537,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2028-03-16,YouTube,Tier-2,Male,35,3.35,24.39,2.78,34975,7.31,2631,1633.97,0.37,1.87,15,16,25,15.19,131,44.64,Conversion Slowdown,Budget > 80%,Bid Reduced,Approved,169744.1,2024-05-30 00:00:00,47.09,121.79,158.63,54.79,67,15,3,32,27.5,N,-0.27,Digital,799760.58,1222.81,9.02,99.6,Regular,Y,N,Y,11.96,-36,42,2.7,Optimize
Campaign 5,CAMP1538,Diwali Dhamaka,Brand X Herbal,Manual,2024-01-01,2028-03-17,Instagram,Metro Cities,Male,26,2.4,44.17,0.51,82723,9.92,4269,882.92,1.62,13.6,6,8,28,7.79,10,25.78,RoAS Drop,Budget > 80%,Creative Refreshed,Auto-resolved,425941.25,2024-11-12 00:00:00,92.42,97.96,5.99,79.29,18.67,15,3,17,26.92307692,Y,-0.1,Discount,3937241.22,349.97,6.47,98.3,Festival,Y,N,N,12.94,-32,45,0.55,Pause
Campaign 11,CAMP1539,Festive Fiesta,Brand X Premium,Agent,2024-01-01,2028-03-18,YouTube,Pan-India,All,54,5.69,7.94,4.464571429,124077.3714,5.44,3634.057143,698.4341518,13.08114286,14.29485714,9.620535714,7.834821429,11.58482143,6.937276786,64.79910714,13.63616071,Budget Cap,CTR < 2%,Budget Increased,Auto-resolved,402744.05,2024-10-16 00:00:00,2.790357143,4.464571429,60,42.97,30.64935714,77.5,5,40.49107143,72.54846154,N,0.28,Premium,626734.63,71.06,5.34,24.75,Off-season,Y,N,N,19.96171429,19.74761905,1092,3.14,Scale Up
Campaign 47,CAMP1540,Diwali Dhamaka,Brand X Herbal,Manual,2024-01-01,2028-03-19,Google Ads,Tier-3,All,38,2.68,4.32,1.07,4547,5.87,4223,241.67,8.93,17.82,4,10,21,20.56,36,23.51,RoAS Drop,RoAS < 1,Creative Refreshed,Approved,174966.47,2024-07-19 00:00:00,42.62,128.93,202.51,48.12,80.81,15,3,48,46.15384615,N,-0.03,Premium,19423.96,23.97,100,92.09,Regular,N,N,N,9.63,8,60,1.02,Pause
Campaign 10,CAMP1541,Diwali Dhamaka,Brand X Herbal,Agent,2024-01-01,2028-03-20,LinkedIn,Tier-2,All,44,3.799272727,10.90767045,4.925090909,122321.0909,1.78,4008.727273,637.0860795,14.64,13.39272727,8.153409091,6.846590909,12.35795455,8.217897727,65.3125,5.6,RoAS Drop,Budget > 80%,Budget Increased,Pending,410256.39,2024-02-21 00:00:00,3.078181818,4.925090909,60,66.04,66.924,96.96,18,37.61363636,71.01,Y,0.24,Savings,3989292.33,389.81,3.96,24.74,Off-season,N,N,N,19.57672727,19.74761905,815,4.38,Scale Up
Campaign 41,CAMP1542,Monsoon Mania,Brand X Herbal,Manual,2024-01-01,2028-03-21,Facebook,Pan-India,Male,32,2.12,13.57,2.74,88663,9.05,878,826.35,9.54,14.57,10,16,29,18.55,164,19.65,Fatigue Detected,Conv < 100,Creative Refreshed,Auto-resolved,354893.79,2024-02-01 00:00:00,92.48,73.43,-20.6,55.32,18.11,15,3,35,40,N,-0.08,Savings,1083398.71,83.87,1.42,90.09,Regular,N,N,N,13.02,-24,45,2.68,Optimize
Campaign 19,CAMP1543,Summer Splash,Brand X Classic,Manual,2024-01-01,2028-03-22,Google Ads,Tier-3,All,30,2.93,6.39,0.5,73250,2.06,4683,1800.99,1.53,0.64,23,19,23,15.21,70,16.35,RoAS Drop,Conv < 100,Creative Refreshed,Auto-resolved,146499.47,2024-09-06 00:00:00,93.62,103.51,10.56,49.84,53.67,15,3,76,52.30769231,N,-0.29,Discount,487577.58,1040.05,8.45,98.55,Regular,N,N,Y,12.8,-30,74,0.52,Pause
Campaign 19,CAMP1544,Summer Splash,Brand X Organic,Agent,2024-01-01,2028-03-23,Instagram,Metro Cities,Female,35,4.568533333,16.88416667,3.978133333,95275.46667,4.49,4032.106667,749.6352083,14.19093333,19.77,7,7.8125,12.125,6.1025,63.5625,14.01979167,Fatigue Detected,CTR < 2%,Paused,Pending,385279.8459,2024-09-12 00:00:00,2.486333333,3.978133333,60,50.08,54.88556667,70,14,46.14583333,70.24076923,N,0.07,NewLaunch,1813129.35,201.49,9.24,24.73,Off-season,Y,N,N,19.54293333,19.74761905,449,3.29,Scale Up
Campaign 26,CAMP1545,Summer Splash,Brand X Herbal,Manual,2024-01-01,2028-03-24,YouTube,Tier-3,Male,30,2.36,25.64,4.72,13726,4.13,1313,1108.25,7.44,10.17,23,7,24,18.31,145,8.92,Budget Cap,RoAS < 1,Creative Refreshed,Auto-resolved,407755.05,2024-10-20 00:00:00,54.98,128.58,133.87,61.91,66.67,15,3,49,43.07692308,Y,-0.15,Festive,327251.53,234.43,11.28,92.36,Holiday,Y,N,N,10.89,-2,50,4.84,Scale Up
Campaign 23,CAMP1546,Winter Warmth,Brand X X Core,Manual,2024-01-01,2028-03-25,Instagram,Metro Cities,All,29,3.58,8.47,0.72,26497,1.43,2014,1918.47,8.89,8.11,13,15,25,11.41,29,28.31,CTR Dip,CTR < 2%,Creative Refreshed,Approved,221923.45,2024-11-05 00:00:00,21.25,116.31,447.34,39.29,77.02,15,3,4,30,N,-0.18,Digital,215114.46,100.1,9.47,91.13,Off-season,N,N,N,11.64,-26,47,0.7,Pause
Campaign 21,CAMP1547,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2028-03-26,YouTube,Pan-India,All,36,3.34,32.91,3.34,27838,9.77,1810,847.88,10.83,2.56,29,15,12,21.13,74,46.44,Fatigue Detected,Conv < 100,Creative Refreshed,Approved,55198.79,2024-11-21 00:00:00,19.44,61.53,216.51,87.16,-25.63,15,3,116,45.83333333,Y,-0.26,Festive,881930.62,1237.53,8.89,88.56,Regular,Y,N,Y,11.7,-24,40,3.2,Scale Up
Campaign 26,CAMP1548,Festive Fiesta,Brand X Organic,Manual,2024-01-01,2028-03-27,LinkedIn,Tier-2,Male,34,3.38,49.97,1.49,95876,6.07,1388,510.57,12.12,2.78,3,6,27,4.77,83,18.22,RoAS Drop,RoAS < 1,Budget Increased,Pending,191585.73,2024-08-15 00:00:00,12.56,126.61,908.04,42.82,83.79,15,0,105,36.92307692,Y,-0.26,Discount,4907462.64,1841.21,1.85,89.43,Off-season,N,N,Y,13.11,-20,76,1.49,Pause
Campaign 23,CAMP1549,Monsoon Mania,Brand X Premium,Manual,2024-01-01,2028-03-28,Facebook,Tier-2,Female,46,4.33,3.88,3.67,15020,4.86,3527,1112.26,10.43,5.31,3,12,29,22.42,5,21.95,Fatigue Detected,Budget > 80%,Budget Increased,Auto-resolved,450695.06,2024-08-21 00:00:00,76.48,71.16,-6.96,33.16,38,15,3,119,52.30769231,N,-0.22,Discount,51946.53,65.13,34.6,89.4,Off-season,N,N,Y,10.99,-31,67,3.93,Scale Up
Campaign 28,CAMP1550,Monsoon Mania,Brand X Premium,Manual,2024-01-01,2028-03-29,LinkedIn,Pan-India,All,34,2.68,21.52,2.04,30233,2.13,265,1816.8,14.62,16.82,14,6,30,15.89,6,21.86,Fatigue Detected,CTR < 2%,Bid Reduced,Pending,476562.34,2024-03-13 00:00:00,51.03,110.11,115.78,79.35,30.76,15,3,63,24.61538462,Y,-0.05,Festive,734468.22,144.43,1.26,85.67,Regular,N,N,N,11.79,-11,282,2.07,Optimize
Campaign 16,CAMP1551,Monsoon Mania,Brand X Herbal,Manual,2024-01-01,2028-03-30,LinkedIn,Pan-India,All,23,2.56,3.67,1.74,86813,4.87,2963,1350.2,1.95,12.28,18,8,11,7.58,20,4.81,CTR Dip,Conv < 100,Creative Refreshed,Auto-resolved,36243.26,2024-03-17 00:00:00,16.46,82.26,399.76,47.96,34.3,15,3,101,35,N,-0.12,Digital,292554.96,27.44,3.89,98.08,Festival,N,N,N,13,-8,34,1.72,Optimize
Campaign 7,CAMP1552,Diwali Dhamaka,Brand X X Core,Manual,2024-01-01,2028-03-31,Facebook,Metro Cities,Female,49,1.95,5.69,0.74,71557,4.78,4504,97.92,5.3,12.96,13,18,10,7.4,74,15.15,CTR Dip,CTR < 2%,Bid Reduced,Pending,198589.91,2024-03-23 00:00:00,65.3,86.69,32.76,54.07,32.62,15,3,1,47.5,Y,-0.11,Festive,440605.46,47.51,7.25,94.76,Regular,N,N,N,12.78,-43,48,0.71,Pause
Campaign 29,CAMP1553,Summer Splash,Brand X X Core,Manual,2024-01-01,2028-04-01,Instagram,Tier-3,Male,40,2.46,6.03,1.27,6301,4.56,3096,1470.98,4.86,11.76,4,15,8,7.2,14,3.06,CTR Dip,CTR < 2%,Paused,Pending,120400.23,2024-03-13 00:00:00,56.59,142.38,151.6,50.53,91.85,15,3,23,37.69230769,N,-0.12,Savings,38195.88,51.55,67.34,94.4,Off-season,N,N,N,10,2,54,1.3,Pause
Campaign 41,CAMP1554,Winter Warmth,Brand X Classic,Manual,2024-01-01,2028-04-02,Facebook,Tier-2,Male,55,4.16,38,4.22,6715,3.98,2303,823.2,5.17,17.28,4,14,30,6.92,118,23.13,Fatigue Detected,RoAS < 1,Creative Refreshed,Approved,499528.95,2024-12-23 00:00:00,51.32,113.75,121.65,55.61,58.14,15,3,71,43.84615385,N,-0.04,Premium,263937.4,227.46,40.89,94.17,Regular,N,N,N,10.07,-14,40,4.44,Scale Up
Campaign 5,CAMP1555,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2028-04-03,YouTube,Tier-3,All,41,2.86,38.54,1.75,36731,2.54,1367,1563.08,0.72,12.09,10,13,8,1.32,99,24.42,Conversion Slowdown,Conv < 100,Paused,Approved,463456.17,2024-08-07 00:00:00,55.48,64.73,16.67,54.5,10.23,14.72,3,82,58.33333333,N,-0.12,NewLaunch,1234192.76,277.92,5.27,99.24,Regular,Y,N,N,12.02,-12,75,1.71,Optimize
Campaign 36,CAMP1556,Winter Warmth,Brand X Classic,Agent,2024-01-01,2028-04-04,YouTube,Pan-India,Male,40,8.8,18.83449074,4.39,94430.34074,8.77,4273.007407,595.4976852,11.97985185,16.01066667,7.384259259,8.032407407,11.875,7.468055556,57.70833333,10.01,Fatigue Detected,Conv < 100,Creative Refreshed,Approved,445792.77,2024-06-06 00:00:00,2.719259259,4.39,61.44,74.37,46.67048148,70,14,44.28240741,74.08692308,Y,0.19,Savings,2154706.68,294.47,6.61,24.73,Festival,Y,N,N,19.27348148,19.74761905,806,4.52,Scale Up
Campaign 4,CAMP1557,Summer Splash,Brand X Classic,Agent,2024-01-01,2028-04-05,LinkedIn,Metro Cities,Female,51,7.99,14.87825,4.96,81261.44,5.98,3777.024,753.1445,11.6064,12.85,10.65,7.75,10.75,8.46225,16,7.04,Fatigue Detected,RoAS < 1,Paused,Auto-resolved,350067.3158,2024-07-12 00:00:00,2.7396,4.96,81.05,51.84,55.27,70,5,28,47.16384615,N,0.16,Premium,2995538.5,328.11,5.79,24.72,Holiday,N,N,N,19.00544,19.74761905,466,5.03,Scale Up
Campaign 39,CAMP1558,Summer Splash,Brand X X Core,Agent,2024-01-01,2028-04-06,Google Ads,Tier-2,Male,46,4.12,12.42458333,3.743466667,99700.48,3.73,4705.76,641.1222917,12.14666667,18.62,1,6.958333333,10.60416667,4.9,43,16.66395833,RoAS Drop,RoAS < 1,Paused,Pending,466338.18,2024-12-11 00:00:00,2.339666667,3.743466667,60,75.77,33.0694,94.84,5,39.5,72.54846154,N,0.19,NewLaunch,1275251.57,225.15,16.75,24.71,Off-season,N,N,N,19.3856,19.74761905,642,2.91,Optimize
Campaign 43,CAMP1559,Festive Fiesta,Brand X X Core,Agent,2024-01-01,2028-04-07,YouTube,Pan-India,All,28,8.77,6.57,4.64,124077.3714,9.8,3634.057143,698.4341518,13.08114286,14.29485714,9.620535714,7.834821429,11.58482143,6.937276786,64.79910714,13.63616071,CTR Dip,Budget > 80%,Paused,Pending,261722.432,2024-02-13 00:00:00,2.790357143,4.64,66.29,35.03,35.77,70,13,40.49107143,61.01,N,0.09,NewLaunch,624580.39,47.57,3.25,24.67,Off-season,Y,N,N,19.96171429,19.74761905,1059,5.01,Scale Up
Campaign 42,CAMP1560,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2028-04-08,LinkedIn,Tier-2,Male,20,1.92,48.12,3.25,21582,6.29,4239,408.95,6.1,18.73,7,5,7,13.26,36,44.71,Fatigue Detected,CTR < 2%,Paused,Auto-resolved,494203.13,2024-06-14 00:00:00,93.6,67.28,-28.12,46.39,20.89,15,3,64,52.30769231,N,-0.02,NewLaunch,1125470.03,278.42,28.47,94.34,Festival,N,N,N,11.41,4,70,3.24,Scale Up
Campaign 38,CAMP1561,Monsoon Mania,Brand X Premium,Agent,2024-01-01,2028-04-09,Google Ads,Tier-3,All,55,4.632,14.203125,4.49,118658.6286,3.38,3604.914286,685.2145089,10.81657143,18.29,10.04464286,7.1875,11.71875,7.127455357,18,12.95357143,Budget Cap,RoAS < 1,Paused,Auto-resolved,324484.9503,2024-05-03 00:00:00,2.728214286,4.49,64.58,84.92,61.46,70,14,37.92410714,63.51,N,0.22,Discount,333664.49,193.68,20.42,24.65,Regular,N,N,N,19.68628571,19.74761905,748,4.87,Scale Up
Campaign 19,CAMP1562,Diwali Dhamaka,Brand X Herbal,Manual,2024-01-01,2028-04-10,Facebook,Metro Cities,Female,42,3.38,39.39,4.48,85196,7.74,818,915.51,0.48,17.2,13,14,7,17.52,113,24.18,Budget Cap,CTR < 2%,Bid Reduced,Pending,217828.14,2024-05-01 00:00:00,35.11,132.41,277.13,71,61.41,15,3,17,23.07692308,N,-0.04,NewLaunch,2777849.03,189.57,1.4,99.6,Holiday,N,N,N,12.98,-15,75,4.73,Scale Up
Campaign 39,CAMP1563,Summer Splash,Brand X Premium,Manual,2024-01-01,2028-04-11,Google Ads,Tier-2,Female,27,2.02,36.57,1.76,11971,6.28,3642,1670.06,9.17,4.8,3,8,26,9.14,84,38.24,CTR Dip,Budget > 80%,Budget Increased,Approved,434792.34,2024-01-18 00:00:00,34.54,129.4,274.64,43.81,85.59,15,3,27,24.61538462,N,-0.23,Digital,490782.16,854.12,41.4,92.5,Off-season,N,N,Y,10.73,-26,76,1.68,Optimize
Campaign 4,CAMP1564,Summer Splash,Brand X X Core,Manual,2024-01-01,2028-04-12,Instagram,Metro Cities,All,52,2.55,27.17,0.76,24170,1.21,1586,1054.01,5.89,10.66,3,15,16,9.47,15,37.12,Conversion Slowdown,RoAS < 1,Budget Increased,Pending,375224.45,2024-01-06 00:00:00,75.23,94.14,25.14,85.28,8.86,15,3,71,35,N,-0.14,Festive,737875.47,286.38,9.15,94.91,Holiday,Y,N,N,11.54,-1,24,0.81,Pause
Campaign 16,CAMP1565,Diwali Dhamaka,Brand X Organic,Manual,2024-01-01,2028-04-13,LinkedIn,Tier-2,Male,54,1.93,2.4,2.68,20901,7.51,30,1161.26,0.39,9.97,17,5,22,12.93,118,8.67,CTR Dip,Conv < 100,Paused,Pending,71584.57,2024-03-16 00:00:00,55.37,136.07,145.75,45.49,90.58,15,3,4,47.5,N,-0.15,Digital,45051.95,21.62,0.16,99.68,Holiday,N,N,N,11.37,-19,32,2.74,Optimize
Campaign 14,CAMP1566,Monsoon Mania,Brand X X Core,Manual,2024-01-01,2028-04-14,LinkedIn,Tier-3,Female,31,2.31,45.75,3.43,13368,5.55,3155,1391.18,6.96,11.05,20,9,9,22.31,160,47.3,Fatigue Detected,Budget > 80%,Budget Increased,Approved,210578.51,2024-09-11 00:00:00,40.05,71.77,79.2,48.74,23.03,15,0,47,45,N,-0.13,Festive,639774.78,433.11,31.89,92.39,Regular,N,N,N,10.86,1,53,3.74,Scale Up
Campaign 26,CAMP1567,Monsoon Mania,Brand X Classic,Manual,2024-01-01,2028-04-15,LinkedIn,Pan-India,Male,45,2.56,12.02,4.61,23661,5.92,3310,922.72,9.28,10.62,6,13,10,8.41,129,15.85,Conversion Slowdown,CTR < 2%,Creative Refreshed,Pending,351999.57,2024-01-06 00:00:00,30.63,144.38,371.37,59.15,85.23,15,3,59,47.69230769,N,-0.14,Savings,277941.27,110.61,18.68,91.65,Regular,N,Y,N,11.51,-12,18,4.6,Scale Up
Campaign 43,CAMP1568,Summer Splash,Brand X Organic,Manual,2024-01-01,2028-04-16,YouTube,Tier-2,Male,40,0.66,3.28,2.83,10996,3.71,1499,824.31,0.57,7.38,13,14,12,14.78,45,22.84,Conversion Slowdown,RoAS < 1,Budget Increased,Auto-resolved,201021.87,2024-03-10 00:00:00,9.69,146.25,1409.29,64.8,81.45,15,3,15,51.53846154,N,-0.19,Savings,37981.25,46.8,17.92,99.46,Regular,Y,N,N,10.64,-23,23,2.94,Optimize
Campaign 43,CAMP1569,Monsoon Mania,Brand X Organic,Manual,2024-01-01,2028-04-17,Instagram,Pan-India,All,36,3.37,40.91,1.22,49773,1.03,4846,1901.72,12.71,16.66,24,18,16,20.94,154,43.9,Budget Cap,Conv < 100,Bid Reduced,Approved,251575.28,2024-08-23 00:00:00,69.86,96.09,37.55,53.07,43.02,15,3,20,46.92307692,Y,-0.05,Festive,2331773.3,281.2,13.77,85.65,Off-season,N,Y,N,12.36,2,56,1.33,Pause
